"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.18634706778727,0.65,0.164,0,"0","ADGRL2"
0,1.25130941126987,0.842,0.356,0,"0","ITM2A"
0,2.41759058068987,0.64,0.155,0,"0","LIMS2"
0,2.40057350362305,0.701,0.217,0,"0","ARL4A"
0,1.97772019593427,0.799,0.318,0,"0","MRTFB"
0,2.0777550328253,0.751,0.27,0,"0","JAM2"
0,3.03397037550587,0.526,0.051,0,"0","GIMAP5"
0,1.48884364557986,0.604,0.131,0,"0","MECOM"
0,2.23068296150494,0.664,0.192,0,"0","PLXND1"
0,2.14784548729624,0.582,0.11,0,"0","FRMD4B"
0,2.9432426865929,0.969,0.499,0,"0","ENG"
0,3.0964834734143,0.517,0.048,0,"0","GIMAP8"
0,1.98567428726387,0.622,0.153,0,"0","ARHGAP31"
0,2.47009140432665,0.633,0.165,0,"0","CEMIP2"
0,1.52485743759367,0.844,0.377,0,"0","EPAS1"
0,1.68370456531287,0.747,0.285,0,"0","CRIM1"
0,1.87295025425069,0.724,0.264,0,"0","MTUS1"
0,4.49113881622307,0.481,0.023,0,"0","FAM167B"
0,2.42688036951021,0.613,0.155,0,"0","DUSP6"
0,2.49819365438508,0.543,0.086,0,"0","EFNA1"
0,2.44234232742978,0.518,0.061,0,"0","KANK3"
0,1.5419781454964,0.649,0.194,0,"0","DOCK9"
0,1.97392293183184,0.865,0.412,0,"0","ELK3"
0,2.62457690165146,0.555,0.106,0,"0","THBD"
0,1.65267902944197,0.628,0.179,0,"0","MGLL"
0,3.00315652747854,0.489,0.041,0,"0","PCDH17"
0,1.90656601946041,0.683,0.236,0,"0","ECE1"
0,1.2999032815417,0.876,0.43,0,"0","PTPRM"
0,1.57993803921749,0.517,0.071,0,"0","CLDN5"
0,2.62090727494948,0.512,0.067,0,"0","SEMA6A"
0,2.71157340216432,0.932,0.488,0,"0","PRCP"
0,1.72639550999384,0.6,0.16,0,"0","CDH13"
0,1.78919047340588,0.654,0.215,0,"0","GRB10"
0,1.6473303977929,0.833,0.395,0,"0","ACTN1"
0,2.33382160002487,0.554,0.121,0,"0","CARD8"
0,2.56304089615098,0.667,0.235,0,"0","COTL1"
0,1.81001726658383,0.711,0.281,0,"0","FLNB"
0,2.37915809732312,0.989,0.561,0,"0","GNG11"
0,3.45158202593421,0.469,0.042,0,"0","NRGN"
0,1.13202371348984,0.916,0.491,0,"0","HLA-DRB1"
0,1.78320131833163,0.584,0.159,0,"0","PITPNC1"
0,2.98967560727315,0.552,0.128,0,"0","OLFM1"
0,1.25206637114652,0.543,0.125,0,"0","ADGRF5"
0,2.53979254896853,0.464,0.047,0,"0","SNTG2"
0,1.68823406709129,0.704,0.287,0,"0","RAI14"
0,2.10355752643532,0.602,0.185,0,"0","SLC44A2"
0,2.34330672185911,0.559,0.143,0,"0","LPAR6"
0,2.54066334441903,0.521,0.106,0,"0","CDC42EP3"
0,3.67277549704057,0.446,0.031,0,"0","CPLX1"
0,4.69196823214899,0.426,0.012,0,"0","TESC"
0,1.76796304524377,0.775,0.363,0,"0","MARCKSL1"
0,2.9730585764605,0.464,0.053,0,"0","RASIP1"
0,1.99865166414498,0.587,0.176,0,"0","FGD5"
0,1.13176805732356,0.734,0.324,0,"0","ELMO1"
0,2.52723650172049,0.479,0.069,0,"0","LAMA5"
0,2.39078936149676,0.5,0.091,0,"0","ICA1"
0,2.46616104887452,0.55,0.141,0,"0","GRASP"
0,1.9299690469365,0.937,0.528,0,"0","FXYD5"
0,2.9344035378896,0.449,0.041,0,"0","MGAT4A"
0,2.35596642868687,0.56,0.152,0,"0","HYAL2"
0,1.92668127252966,0.66,0.256,0,"0","ITGA5"
0,1.7995359380516,0.53,0.128,0,"0","RPS6KA2"
0,1.88884001219605,0.696,0.297,0,"0","NECTIN2"
0,1.69455319119409,0.571,0.173,0,"0","ICAM2"
0,2.02563935152819,0.592,0.197,0,"0","ITPRID2"
0,2.24954130730275,0.474,0.079,0,"0","EPB41L4A"
0,2.34675275642202,0.495,0.103,0,"0","MAP3K11"
0,3.12130612150933,0.43,0.04,0,"0","PDE2A"
0,2.36736615910934,0.421,0.032,0,"0","DACH1"
0,1.97842895999768,0.556,0.169,0,"0","F2R"
0,2.59210526301091,0.436,0.049,0,"0","RAPGEF3"
0,2.2213900693582,0.424,0.038,0,"0","ANO2"
0,0.900402781125181,0.726,0.343,0,"0","PLCB1"
0,1.2279352610985,0.722,0.342,0,"0","ABLIM1"
0,2.43539812655906,0.499,0.12,0,"0","EPHB4"
0,1.66351428184802,0.606,0.227,0,"0","SWAP70"
0,4.66403995604232,0.389,0.01,0,"0","LHX6"
0,2.03758566388376,0.544,0.166,0,"0","TMEM204"
0,2.93501860584483,0.434,0.057,0,"0","MET"
0,1.45447927940983,0.771,0.394,0,"0","PALM2-AKAP2"
0,1.51845537168002,0.452,0.075,0,"0","THSD7A"
0,1.52613207072708,0.568,0.191,0,"0","AFDN"
0,2.21623602462397,0.436,0.06,0,"0","DYSF"
0,1.59530041170226,0.845,0.469,0,"0","ZNF385D"
0,1.44735733055851,0.624,0.248,0,"0","SLC29A1"
0,2.11954719969806,0.446,0.07,0,"0","PGM5"
0,2.19366919068915,0.477,0.101,0,"0","SHROOM4"
0,2.71081944655883,0.41,0.035,0,"0","NR5A2"
0,2.3621816467013,0.447,0.073,0,"0","TSPAN18"
0,1.79653521843581,0.93,0.557,0,"0","PDLIM1"
0,2.04098825122093,0.471,0.098,0,"0","ADAMTS9"
0,1.73001829484126,0.561,0.19,0,"0","SNRK"
0,2.05547551311193,0.484,0.113,0,"0","SYNPO"
0,1.93470412168451,0.455,0.084,0,"0","NEURL1B"
0,2.67710948238797,0.447,0.076,0,"0","FZD6"
0,1.75821100316021,0.664,0.294,0,"0","HLA-DPA1"
0,4.57095176874013,0.383,0.013,0,"0","MPZL2"
0,2.97435454057319,0.453,0.084,0,"0","LTC4S"
0,1.71955577343384,0.878,0.509,0,"0","CCDC85B"
0,3.3319752260285,0.402,0.035,0,"0","EDN1"
0,2.34127058827907,0.474,0.108,0,"0","PNP"
0,1.78997663845336,0.894,0.528,0,"0","RAB11A"
0,1.79456258096732,0.701,0.337,0,"0","GASK1B"
0,1.73125560248729,0.611,0.248,0,"0","HLA-DRB5"
0,1.2430753552869,0.471,0.109,0,"0","MCAM"
0,1.43351678762254,0.523,0.164,0,"0","PLEKHG1"
0,1.65991421406787,0.989,0.632,0,"0","CD74"
0,2.95081823716077,0.405,0.049,0,"0","SCARF1"
0,2.1696701114633,0.478,0.122,0,"0","LGALS9"
0,1.61129638205847,0.592,0.237,0,"0","PIK3C2A"
0,3.80593801006189,0.381,0.026,0,"0","ABI3"
0,2.65702172152419,0.441,0.088,0,"0","MMP28"
0,1.30370681420296,0.717,0.365,0,"0","GNAQ"
0,1.77252789284076,0.398,0.051,0,"0","ST6GALNAC3"
0,3.24548533251286,0.381,0.034,0,"0","HHEX"
0,1.87879610221544,0.463,0.117,0,"0","DNM3"
0,1.42564108000206,0.814,0.469,0,"0","LRRFIP1"
0,1.72259706201312,0.516,0.171,0,"0","ATP8B1"
0,3.11393894366897,0.374,0.029,0,"0","ARHGEF15"
0,1.84567788279178,0.504,0.16,0,"0","CYTH1"
0,2.5691559528903,0.389,0.046,0,"0","ARAP3"
0,1.24952796677879,0.729,0.386,0,"0","CAV2"
0,1.60647370410391,0.41,0.068,0,"0","PODXL"
0,2.14401631464748,0.388,0.05,0,"0","RAPGEF5"
0,2.38016956308232,0.404,0.066,0,"0","SKAP2"
0,1.84420431428303,0.523,0.185,0,"0","SPTLC2"
0,2.89741252320278,0.402,0.064,0,"0","TSPAN12"
0,2.14637845148323,0.387,0.051,0,"0","KDR"
0,2.3745310676467,0.387,0.052,0,"0","RAPGEF4"
0,1.48876734415146,0.554,0.22,0,"0","FNBP1L"
0,1.81732978143975,0.527,0.193,0,"0","PPP2R5A"
0,2.17787362704661,0.455,0.121,0,"0","CARD16"
0,1.4960396042417,0.77,0.437,0,"0","BMPR2"
0,2.15720245723074,0.444,0.111,0,"0","SVIP"
0,3.66999390285606,0.354,0.024,0,"0","C1orf115"
0,1.84168399283721,0.547,0.218,0,"0","INPP1"
0,1.86926464212911,0.96,0.632,0,"0","TGFBR2"
0,1.27205309605129,0.6,0.272,0,"0","ARHGEF3"
0,2.38046508788088,0.402,0.075,0,"0","SHE"
0,1.54626083355303,0.519,0.193,0,"0","MYO5A"
0,1.12187693991118,0.466,0.141,0,"0","SRGN"
0,1.9548743374726,0.465,0.141,0,"0","HLA-DQB1"
0,1.23372949255614,0.864,0.54,0,"0","LDB2"
0,1.37507573647173,0.744,0.422,0,"0","TNFSF10"
0,1.71241697386725,0.964,0.642,0,"0","CRIP2"
0,1.93653984406613,0.472,0.15,0,"0","TLL1"
0,2.69101554221782,0.384,0.065,0,"0","RFLNB"
0,1.95702418025475,0.421,0.104,0,"0","LRRC8C"
0,1.48571162304021,0.6,0.283,0,"0","ATP1B3"
0,2.15374811636963,0.448,0.131,0,"0","UPP1"
0,1.22378799855408,0.659,0.343,0,"0","ETS1"
0,3.91993030147556,0.334,0.018,0,"0","ADM5"
0,3.38558491088082,0.346,0.03,0,"0","DOC2B"
0,1.77460112342476,0.455,0.14,0,"0","KIAA0355"
0,1.81029083068768,0.513,0.198,0,"0","BCAR1"
